Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2
DataMining,BigData,9,0.4909091,3,1,0,0
Development,Architect,1,0.033333335,0,0,0,0
Assurance,Development,1,0.166666672,0,0,0,0
Robotics,Development,1,0.166666672,0,0,0,0
Robotics,Assurance,1,1,0,0,0,0
R,Elasticsearch,4,0.152380958,0,0,0,0
Mahout,Elasticsearch,1,0.100000001,0,0,0,0
MapReduce,Elasticsearch,1,0.200000003,0,0,0,0
Mahout,R,1,0.023809524,0,0,0,0
MapReduce,R,1,0.047619049,0,0,0,0
MapReduce,Mahout,1,0.5,0,0,0,0
Geolocation,Tableau,1,1,0,0,0,0
R,Hadoop,3,0.107142858,0,0,0,0
Spark,Hadoop,2,0.5,0,0,0,0
Spark,R,2,0.095238097,0,0,0,0
RDF,Oracle,2,0.444444448,0,0,0,0
Architect,Oracle,2,0.266666681,0,0,0,0
NoSQL,Oracle,2,0.666666687,0,0,0,0
SQL,Oracle,2,0.190476194,0,0,0,0
Architect,RDF,3,0.600000024,0,0,0,0
NoSQL,RDF,2,0.666666687,0,0,0,0
SQL,RDF,2,0.190476194,0,0,0,0
NoSQL,Architect,2,0.400000006,0,0,0,0
SQL,Architect,2,0.114285715,0,0,0,0
SQL,NoSQL,2,0.285714298,0,0,0,0
R,RDF,1,0.015873017,0,0,0,0
R,Architect,1,0.00952381,0,0,0,0
Database,Oracle,1,0.166666672,0,0,0,0
Database,RDF,1,0.166666672,0,0,0,0
Architect,Database,1,0.100000001,0,0,0,0
NoSQL,Database,1,0.25,0,0,0,0
SQL,Database,1,0.071428575,0,0,0,0
Memcached,FrontEnd,1,0.005952381,0,0,0,0
MySQL,FrontEnd,1,0.006944444,0,0,0,0
Monitoring,FrontEnd,1,0.008333334,0,0,0,0
Redis,FrontEnd,1,0.005952381,0,0,0,0
RabbitMQ,FrontEnd,1,0.006944444,0,0,0,0
ReactJS,FrontEnd,1,0.041666668,0,0,0,0
MySQL,Memcached,5,0.59523809,0,0,0,0
Monitoring,Memcached,5,0.714285731,0,0,0,0
Redis,Memcached,5,0.510204077,0,0,0,0
RabbitMQ,Memcached,5,0.59523809,0,0,0,0
ReactJS,Memcached,1,0.142857149,0,0,0,0
Monitoring,MySQL,5,0.833333313,0,0,0,0
Redis,MySQL,5,0.59523809,0,0,0,0
RabbitMQ,MySQL,5,0.694444418,0,0,0,0
ReactJS,MySQL,1,0.166666672,0,0,0,0
Redis,Monitoring,5,0.714285731,0,0,0,0
RabbitMQ,Monitoring,5,0.833333313,0,0,0,0
ReactJS,Monitoring,1,0.200000003,0,0,0,0
RabbitMQ,Redis,6,0.857142866,0,0,0,0
ReactJS,Redis,1,0.142857149,0,0,0,0
ReactJS,RabbitMQ,1,0.166666672,0,0,0,0
Memcached,PHP,2,0.063492067,0,0,0,0
MySQL,PHP,2,0.074074075,0,0,0,0
Monitoring,PHP,1,0.022222223,0,0,0,0
Redis,PHP,1,0.015873017,0,0,0,0
RabbitMQ,PHP,1,0.018518519,0,0,0,0
jQuery,PHP,1,0.005555556,0,0,0,0
Symfony,PHP,2,0.222222224,0,0,0,0
Doctrine,PHP,4,0.444444448,0,0,0,0
Zend,PHP,1,0.111111112,0,0,0,0
jQuery,Memcached,1,0.007142857,0,0,0,0
Symfony,Memcached,1,0.071428575,0,0,0,0
Doctrine,Memcached,1,0.035714287,0,0,0,0
Zend,Memcached,1,0.142857149,0,0,0,0
Symfony,jQuery,1,0.025,0,0,0,0
Doctrine,jQuery,1,0.0125,0,0,0,0
Zend,jQuery,1,0.050000001,0,0,0,0
Doctrine,Symfony,2,0.5,0,0,0,0
Zend,Symfony,1,0.5,0,0,0,0
Zend,Doctrine,1,0.25,0,0,0,0
Memcached,DataEngineer,1,0.047619049,0,0,0,0
MySQL,DataEngineer,1,0.055555556,0,0,0,0
Monitoring,DataEngineer,1,0.06666667,0,0,0,0
Redis,DataEngineer,1,0.047619049,0,0,0,0
RabbitMQ,DataEngineer,1,0.055555556,0,0,0,0
RabbitMQ,SoftwareEngineer,1,0.055555556,0,0,0,0
Redis,SoftwareEngineer,1,0.047619049,0,0,0,0
Monitoring,SoftwareEngineer,1,0.06666667,0,0,0,0
MySQL,SoftwareEngineer,1,0.055555556,0,0,0,0
Memcached,SoftwareEngineer,1,0.047619049,0,0,0,0
Solr,Java,2,0.666666687,0,0,0,0
Memcached,Java,1,0.047619049,0,0,0,0
HTML,Java,1,0.06666667,0,0,0,0
CSS,Java,1,0.037037037,0,0,0,0
JavaScript,Java,1,0.033333335,0,0,0,0
Apache,Java,1,0.333333343,0,0,0,0
Solr,Apache,1,0.5,0,0,0,0
Memcached,Apache,1,0.142857149,0,0,0,0
HTML,Apache,1,0.200000003,0,0,0,0
CSS,Apache,1,0.111111112,0,0,0,0
JavaScript,Apache,1,0.100000001,0,0,0,0
Solr,JavaScript,1,0.050000001,0,0,0,0
Memcached,JavaScript,1,0.014285714,0,0,0,0
HTML,JavaScript,3,0.180000007,0,0,0,0
CSS,JavaScript,6,0.400000006,0,0,0,0
Solr,CSS,1,0.055555556,0,0,0,0
Memcached,CSS,1,0.015873017,0,0,0,0
HTML,CSS,5,0.555555582,0,0,0,0
Solr,HTML,1,0.100000001,0,0,0,0
Memcached,HTML,1,0.028571429,0,0,0,0
Solr,Memcached,1,0.071428575,0,0,0,0
Backend,Developer,2,0.074074075,0,0,0,0
Backbone,Developer,3,0.111111112,0,0,0,0
React,Developer,3,0.111111112,0,0,0,0
FrontEnd,Developer,17,0.445987642,0,0,1,1
JavaScript,Developer,6,0.13333334,0,0,0,0
Backbone,JavaScript,2,0.13333334,0,0,0,0
React,JavaScript,3,0.300000012,0,0,0,0
FrontEnd,JavaScript,5,0.104166664,0,0,0,0
Backbone,FrontEnd,2,0.055555556,0,0,0,0
React,FrontEnd,2,0.055555556,0,0,0,0
Backbone,React,1,0.111111112,0,0,0,0
CentOS,SQL,1,0.035714287,0,0,0,0
Linux,SQL,2,0.114285715,0,0,0,0
CentOS,Linux,3,0.449999988,0,0,0,0
RHEL,Oracle,1,0.333333343,0,0,0,0
CentOS,Oracle,1,0.083333336,0,0,0,0
Linux,Oracle,1,0.06666667,0,0,0,0
R,Oracle,1,0.015873017,0,0,0,0
Tools,Oracle,1,0.047619049,0,0,0,0
RHEL,Tools,1,0.142857149,0,0,0,0
CentOS,Tools,2,0.142857149,0,0,0,0
Linux,Tools,2,0.114285715,0,0,0,0
R,Tools,2,0.027210884,0,0,0,0
RHEL,R,1,0.047619049,0,0,0,0
CentOS,R,1,0.011904762,0,0,0,0
Linux,R,2,0.03809524,0,0,0,0
RHEL,Linux,1,0.200000003,0,0,0,0
RHEL,CentOS,1,0.25,0,0,0,0
Chef,Tools,1,0.142857149,0,0,0,0
Ansible,Tools,1,0.142857149,0,0,0,0
DevOps,Tools,1,0.00621118,0,0,0,0
SaltStack,Tools,1,0.142857149,0,0,0,0
Puppet,Tools,1,0.142857149,0,0,0,0
Chef,Linux,1,0.200000003,0,0,0,0
Ansible,Linux,1,0.200000003,0,0,0,0
DevOps,Linux,1,0.008695652,0,0,0,0
SaltStack,Linux,1,0.200000003,0,0,0,0
Puppet,Linux,1,0.200000003,0,0,0,0
Chef,Puppet,1,1,0,0,0,0
CentOS,Puppet,1,0.25,0,0,0,0
